DATE,COUNTRY,STATE,CITY,SUBREGION,REGION,PERPETRATOR,INJURED,DEAD,DESCRIPTION,COORDINATES,CATEGORY
2023-04-02,Russia,,Saint Petersburg,Eastern Europe,Europe,Darya Trepova,42,1,"During a speech by military blogger Vladlen Tatarsky in a cafe, an IED planted in a statuette gifted to him exploded.","64.6863136,97.7453061",Explosion
2023-03-06,Pakistan,Sindh,Karachi,Southern Asia,Asia,Tehreek-e-Jihad Pakistan (TJP) or Islamic State Wilayah Pakistan (ISPP),13,9,"A terrorist attack occurred in Bolan, Balochistan province, Pakistan. The attack targeted a van carrying police officers from Sibi back to Quetta, killing at least nine and injuring 13. The attacker, believed to be a suicide bomber riding a motorcycle, rammed into the police van on the Kambri bridge in the area between Sibi and Kachhi districts.","24.8546842,67.0207055",Explosion
2023-02-17,Pakistan,Sindh,Karachi,Southern Asia,Asia,Tehrik-i-Taliban Pakistan (TTP),16,5,"The 2023 Karachi Police Station Attack occurred on 17 February 2023, when Islamist insurgents stormed the heavily guarded Karachi Police Office (KPO) located in the heart of the provincial metropolis of Karachi, Sindh, Pakistan. The attackers used guns and grenades to kill five people (two policemen, two rangers, and a civilian) and injure 14 other people.","24.8546842,67.0207055",Assault
2023-01-30,Pakistan,Khyber Pakhtunkhwa,Peshawar,Southern Asia,Asia,Jamaat-ul-Ahrar,220,101,"A suicide attacker detonated a bomb during afternoon prayers inside a mosque in the Police Lines area. A significant number of casualties were police officers.","34.0123846,71.5787458",Explosion
2023-01-27,Israel,Jerusalem District,Jerusalem,Western Asia,Asia,Palestinian Islamic Jihad (PIJ),3,7,"Seven people were shot and killed and at least three others were wounded in a terror shooting attack near a synagogue in Jerusalem's Neve Yaakov neighborhood, police and medics said Friday night. According to police, the terrorist arrived by car at 8:13 p.m. in the Jewish East Jerusalem neighborhood and opened fire at people outside the synagogue and other passersby.","31.7788242,35.2257626",Assault
2023-01-27,Iran,Tehran Province,Tehran,Southern Asia,Asia,Yasin Huseynzadeh,2,1,"The Embassy of Azerbaijan in Tehran was attacked on 27 January 2023, at around 08:00 a.m. local time. The perpetrator passed by the guard post with a Kalashnikov rifle and opened fire inside the embassy, while its staff tried to neutralize him. The head of the embassy's security service, Orkhan Asgarov, was killed in the attack, while two guards were injured.","35.6892523,51.3896004",Assault
2023-01-11,Afghanistan,Kabul,Kabul,Southern Asia,Asia,Islamic State – Khorasan Province,40,20,"On the afternoon of Wednesday 11 January, an ISIS-K suicide bomber attempted to enter the foreign ministry in Kabul. Failing to do so, he detonated his explosives outside, killing up to 20 people and injuring at least 40.","34.5260109,69.1776838",Explosion
2022-11-13,Turkey,Istanbul Province,Istanbul,Western Asia,Asia,Kurdistan Workers' Party (PKK),81,6,"A Syrian female placed a bag next to a bench on Istiklal Avenue, then fled the scene and detonated the bomb, injuring 81 and killing 6 people. The attacker was identified as Ahlam Albashır and was arrested 10 hours later by the Police Special Operation Department.","41.0091982,28.9662187",Explosion
2022-10-29,Somalia,Banaadir,Mogadishu,Eastern Africa,Africa,Al-Shabaab,300,121,A double car bombing killed at least 121 people and injured over 300 others at Zobe junction in the Somali capital.,"2.0349312,45.3419183",Explosion
2022-09-05,Afghanistan,Kabul,,Southern Asia,Asia,Islamic State - Khorasan Province,20,10,"A suicide bomber approached the Russian embassy in Kabul. The attacker was shot dead by security forces, but his explosives went off after he was killed. At least 10 people, including two embassy employees, were killed in the attack. 15 to 20 others became injured. The Islamic State – Khorasan Province claimed responsibility for the attack.","34.5260109,69.1776838",Explosion
